	0.178274	0.160492	0.184330	0.159654
	0.179627	0.162167	0.184137	0.159912
	0.177694	0.159461	0.180078	0.158044
	0.178081	0.160685	0.183042	0.159526
	0.179563	0.163198	0.183235	0.158752
	0.176470	0.158495	0.181238	0.158495
	0.178339	0.160750	0.184137	0.160105
	0.179241	0.161587	0.182849	0.158881
	0.176986	0.159461	0.181302	0.158108
	0.178725	0.161458	0.183815	0.159526
	0.179885	0.161394	0.182913	0.158301
	0.180980	0.161136	0.183557	0.158688
	0.180787	0.160943	0.185361	0.159268
	0.179949	0.161909	0.184653	0.159783
	0.180143	0.161909	0.183106	0.157786
	0.178467	0.158559	0.183300	0.158366
	0.177823	0.160814	0.183428	0.157399
	0.181560	0.163456	0.184717	0.159332
	0.178661	0.160234	0.184073	0.158495
	0.179627	0.161909	0.184137	0.158688
	0.180400	0.161523	0.185812	0.160428
	0.180207	0.162360	0.185168	0.158752
	0.179692	0.160492	0.184846	0.157528
	0.182011	0.163198	0.184910	0.158366
	0.180014	0.160428	0.184717	0.157399
	0.180980	0.163842	0.183879	0.157979
	0.180207	0.160879	0.185104	0.158237
	0.181689	0.163327	0.185812	0.159590
	0.178339	0.159526	0.184910	0.157528
	0.180400	0.161909	0.185683	0.158752
	0.179692	0.161265	0.185554	0.158559
	0.182140	0.163713	0.186134	0.158881
	0.179692	0.161458	0.184459	0.155918
	0.183686	0.164551	0.187423	0.159075
	0.181173	0.160428	0.186134	0.157979
	0.182011	0.161652	0.184653	0.157399
	0.182140	0.161716	0.186456	0.159010
	0.181302	0.161781	0.186392	0.158108
	0.182140	0.161845	0.185877	0.157722
	0.180014	0.161523	0.186199	0.156304
	0.183106	0.162811	0.187101	0.159332
	0.183235	0.163649	0.187358	0.158237
	0.181882	0.161458	0.186005	0.157786
	0.182526	0.162425	0.187487	0.158044
	0.183879	0.164293	0.188711	0.159397
	0.182720	0.162554	0.187552	0.156755
	0.183944	0.161845	0.186843	0.156175
	0.182913	0.163585	0.188518	0.159268
	0.181109	0.161716	0.186585	0.156884
	0.182075	0.163971	0.188132	0.158817
	0.182720	0.163456	0.188647	0.158366
	0.183493	0.163327	0.188840	0.159848
	0.183428	0.163262	0.187423	0.156691
	0.183493	0.163778	0.189162	0.157722
	0.183944	0.163391	0.188711	0.156884
	0.182075	0.161523	0.187230	0.157464
	0.183751	0.163198	0.188583	0.157722
	0.183106	0.163134	0.189162	0.157528
	0.183944	0.162683	0.188905	0.158624
	0.183364	0.162683	0.189356	0.157593
	0.184717	0.164615	0.191675	0.158817
	0.184781	0.163649	0.191353	0.158430
	0.182526	0.162038	0.188647	0.156691
	0.184073	0.163391	0.190129	0.159203
	0.184910	0.163520	0.190000	0.158044
	0.183493	0.161909	0.190000	0.157464
	0.185748	0.163713	0.190966	0.158495
